Filename	200MP mastercurve2 (SeqTest 3)
Instrument name	
Operator	Administrator
rundate	8/8/2018
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
1.58489	67452.4	26261.4	0.389332	72384.3	45671.4	0.774420	16569.8	42559.6	1.28739e-5	5.01221e-6	345.000	39.903	1.04365	755.435	21.2726	1.00000	2.03511e-3	0.00000	-0.03500	0.397255	279.000
1.00000	61958.7	22246.8	0.359059	65831.6	65831.6	0.704598	22246.8	61958.7	1.42966e-5	5.13333e-6	363.000	39.949	1.04407	687.325	19.7511	1.00000	2.03593e-3	0.00000	-0.03500	0.397255	297.000
0.630957	56370.5	19430.6	0.344694	59625.3	94499.8	0.638154	30795.4	89341.2	1.58559e-5	5.46543e-6	395.000	39.991	1.04404	622.510	19.0188	1.00000	2.03587e-3	0.00000	-0.03500	0.397255	329.000
100.000	298156	294101	0.986400	418798	4187.98	4.46471	2941.01	2981.56	1.69994e-6	1.67682e-6	518.000	34.667	1.03994	4355.26	44.6077	1.00000	1.98629e-3	0.00000	-0.05100	0.448754	452.000
63.0957	243733	226374	0.928778	332643	5272.03	3.55454	3587.79	3862.91	2.20272e-6	2.04583e-6	525.000	34.734	1.04238	3467.40	42.8852	1.00000	1.99095e-3	0.00000	-0.05100	0.448754	459.000
39.8107	201347	174886	0.868582	266694	6699.05	2.85917	4392.94	5057.60	2.83086e-6	2.45883e-6	530.000	34.776	1.04580	2789.07	40.9770	1.00000	1.99747e-3	0.00000	-0.05100	0.448754	464.000
25.1189	168220	135283	0.804199	215869	8593.91	2.31766	5385.70	6696.98	3.60992e-6	2.90309e-6	536.000	34.818	1.04732	2260.84	38.8062	1.00000	2.00038e-3	0.00000	-0.05100	0.448754	470.000
15.8489	142351	105391	0.740357	177119	11175.4	1.89987	6649.71	8981.75	4.53766e-6	3.35949e-6	543.000	34.860	1.04636	1853.29	36.5147	1.00000	1.99854e-3	0.00000	-0.05100	0.448754	477.000
10.0000	122103	82325.0	0.674225	147264	14726.4	1.57901	8232.51	12210.3	5.63035e-6	3.79613e-6	550.000	34.892	1.04595	1540.30	33.9888	1.00000	1.99776e-3	0.00000	-0.05100	0.448754	484.000
6.30957	105990	64639.9	0.609868	124146	19675.8	1.33062	10244.7	16798.3	6.87702e-6	4.19408e-6	558.000	34.923	1.04554	1298.00	31.3777	1.00000	1.99699e-3	0.00000	-0.05100	0.448754	492.000
3.98107	93358.1	51234.1	0.548791	106493	26749.7	1.14103	12869.4	23450.5	8.23215e-6	4.51773e-6	567.000	34.946	1.04520	1113.06	28.7576	1.00000	1.99634e-3	0.00000	-0.05100	0.448754	501.000
2.51189	83343.2	41082.4	0.492931	92918.6	36991.5	0.995345	16355.2	33179.5	9.65307e-6	4.75829e-6	576.000	34.964	1.04494	970.944	26.2401	1.00000	1.99584e-3	0.00000	-0.05100	0.448754	510.000
1.58489	75197.7	32828.0	0.436556	82051.0	51770.7	0.878578	20713.1	47446.5	1.11696e-5	4.87615e-6	590.000	34.984	1.04452	857.040	23.5840	1.00000	1.99503e-3	0.00000	-0.05100	0.448754	524.000
1.00000	68266.6	27051.9	0.396268	73431.2	73431.2	0.786465	27051.9	68266.6	1.26604e-5	5.01691e-6	610.000	34.999	1.04477	767.185	21.6168	1.00000	1.99551e-3	0.00000	-0.05100	0.448754	544.000
0.630957	62342.1	22636.9	0.363107	66324.7	105118	0.710396	35877.0	98805.6	1.41720e-5	5.14595e-6	640.000	35.008	1.04483	692.981	19.9563	1.00000	1.99563e-3	0.00000	-0.05100	0.448754	574.000
100.000	394305	416754	1.05694	573725	5737.25	6.13489	4167.54	3943.05	1.19791e-6	1.26611e-6	770.000	29.683	1.04310	5984.50	46.5855	1.00000	1.95580e-3	0.00000	-0.06500	0.422629	704.000
63.0957	318167	319311	1.00360	450765	7144.15	4.83370	5060.73	5042.60	1.56586e-6	1.57149e-6	777.000	29.750	1.04604	4715.21	45.1028	1.00000	1.96133e-3	0.00000	-0.06500	0.422629	711.000
39.8107	259172	245887	0.948739	357254	8973.82	3.84013	6176.40	6510.12	2.03064e-6	1.92655e-6	782.000	29.792	1.04855	3745.99	43.4932	1.00000	1.96603e-3	0.00000	-0.06500	0.422629	716.000
25.1189	213431	189709	0.888855	285556	11368.2	3.06639	7552.45	8496.83	2.61743e-6	2.32651e-6	788.000	29.832	1.04751	2991.22	41.6324	1.00000	1.96408e-3	0.00000	-0.06500	0.422629	722.000
15.8489	177339	146792	0.827749	230211	14525.3	2.47065	9261.95	11189.3	3.34621e-6	2.76982e-6	796.000	29.877	1.04690	2410.08	39.6162	1.00000	1.96294e-3	0.00000	-0.06500	0.422629	730.000
10.0000	149512	114310	0.764556	188204	18820.4	2.01867	11431.0	14951.2	4.22103e-6	3.22722e-6	803.000	29.908	1.04630	1969.18	37.3999	1.00000	1.96182e-3	0.00000	-0.06500	0.422629	737.000
6.30957	127503	89275.8	0.700185	155651	24669.0	1.66907	14149.3	20207.9	5.26281e-6	3.68494e-6	811.000	29.933	1.04603	1628.15	34.9991	1.00000	1.96130e-3	0.00000	-0.06500	0.422629	745.000
3.98107	110395	70009.4	0.634170	130723	32836.1	1.40123	17585.6	27730.0	6.46024e-6	4.09689e-6	819.000	29.954	1.04563	1366.88	32.3816	1.00000	1.96056e-3	0.00000	-0.06500	0.422629	753.000
2.51189	96685.1	55238.9	0.571328	111352	44330.2	1.19350	21991.0	38491.0	7.79760e-6	4.45499e-6	829.000	29.973	1.04555	1164.24	29.7405	1.00000	1.96040e-3	0.00000	-0.06500	0.422629	763.000
1.58489	85566.4	44062.2	0.514948	96245.0	60726.5	1.03092	27801.4	53988.8	9.23735e-6	4.75675e-6	845.000	29.988	1.04488	1005.64	27.2461	1.00000	1.95915e-3	0.00000	-0.06500	0.422629	779.000
1.00000	77000.7	35577.9	0.462046	84822.7	84822.7	0.909053	35577.9	77000.7	1.07021e-5	4.94488e-6	867.000	29.999	1.04544	886.768	24.7991	1.00000	1.96020e-3	0.00000	-0.06500	0.422629	801.000
0.630957	69791.2	28716.3	0.411461	75468.1	119609	0.808752	45512.3	110612	1.22539e-5	5.04199e-6	900.000	30.004	1.04538	788.926	22.3652	1.00000	1.96008e-3	0.00000	-0.06500	0.422629	834.000
100.000	541618	605610	1.11815	812473	8124.74	8.67720	6056.10	5416.18	8.20493e-7	9.17433e-7	1040.00	24.722	1.04182	8464.48	48.1926	1.00000	1.91173e-3	0.00000	-0.08100	0.443364	974.000
63.0957	430304	462550	1.07494	631755	10012.6	6.78138	7330.93	6819.87	1.07815e-6	1.15894e-6	1047.00	24.783	1.04710	6615.14	47.0684	1.00000	1.92144e-3	0.00000	-0.08100	0.443364	981.000
39.8107	346222	354464	1.02381	495494	12446.2	5.32793	8903.73	8696.70	1.41019e-6	1.44376e-6	1052.00	24.818	1.04892	5197.32	45.6739	1.00000	1.92476e-3	0.00000	-0.08100	0.443364	986.000
25.1189	280735	272813	0.971781	391457	15584.2	4.20921	10860.9	11176.2	1.83201e-6	1.78031e-6	1058.00	24.858	1.04891	4106.03	44.1801	1.00000	1.92475e-3	0.00000	-0.08100	0.443364	992.000
