Filename	200MP mastercurve2 (SeqTest 2)
Instrument name	
Operator	Administrator
rundate	8/8/2018
File Parameters	
[Name]
[Instrument type]
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
1.58489	39087.4	14082.5	0.360283	41546.8	26214.3	0.698310	8885.46	24662.5	2.26444e-5	8.15838e-6	329.000	94.917	1.63957	681.191	19.8132	2.00000	5.09498e-3	0.00000	0.1700	0.405589	275.000
1.00000	35211.5	13007.4	0.369407	37537.2	37537.2	0.631079	13007.4	35211.5	2.49897e-5	9.23136e-6	348.000	94.962	1.64000	615.609	20.2746	2.00000	5.09629e-3	0.00000	0.1700	0.405589	294.000
0.630957	31451.5	11594.7	0.368654	33520.7	53126.7	0.563547	18376.4	49847.3	2.79908e-5	1.03189e-5	380.000	94.999	1.63998	549.732	20.2366	2.00000	5.09623e-3	0.00000	0.1700	0.405589	326.000
100.000	95838.7	35489.5	0.370304	102199	1021.99	1.71946	354.895	958.387	9.17594e-6	3.39789e-6	463.000	89.241	1.64123	1677.31	20.3198	2.00000	5.01395e-3	0.00000	0.1490	0.428448	409.000
63.0957	87523.5	30580.6	0.349398	92712.1	1469.39	1.56061	484.669	1387.15	1.01824e-5	3.55773e-6	470.000	89.345	1.64203	1522.36	19.2593	2.00000	5.01639e-3	0.00000	0.1490	0.428448	416.000
39.8107	80414.6	26933.1	0.334928	84805.0	2130.21	1.42694	676.528	2019.92	1.11813e-5	3.74492e-6	475.000	89.416	1.64136	1391.96	18.5171	2.00000	5.01435e-3	0.00000	0.1490	0.428448	421.000
25.1189	73753.8	24209.4	0.328247	77625.5	3090.33	1.30474	963.795	2936.19	1.22398e-5	4.01769e-6	481.000	89.495	1.63960	1272.75	18.1722	2.00000	5.00899e-3	0.00000	0.1490	0.428448	427.000
15.8489	67736.5	22088.2	0.326090	71246.9	4495.37	1.19617	1393.67	4273.88	1.33442e-5	4.35139e-6	488.000	89.580	1.63774	1166.84	18.0606	2.00000	5.00331e-3	0.00000	0.1490	0.428448	434.000
10.0000	61997.5	20366.8	0.328510	65257.2	6525.72	1.09475	2036.68	6199.75	1.45585e-5	4.78262e-6	495.000	89.656	1.63647	1067.91	18.1859	2.00000	4.99942e-3	0.00000	0.1490	0.428448	441.000
6.30957	56273.1	18883.2	0.335564	59356.8	9407.42	0.995223	2992.79	8918.68	1.59720e-5	5.35963e-6	503.000	89.731	1.63558	970.826	18.5499	2.00000	4.99669e-3	0.00000	0.1490	0.428448	449.000
3.98107	51202.8	17386.2	0.339555	54074.1	13582.8	0.906412	4367.20	12861.6	1.75112e-5	5.94601e-6	511.000	89.792	1.63515	884.191	18.7552	2.00000	4.99538e-3	0.00000	0.1490	0.428448	457.000
2.51189	46284.2	16110.1	0.348070	49007.7	19510.3	0.821206	6413.56	18426.1	1.92709e-5	6.70764e-6	519.000	89.843	1.63459	801.075	19.1915	2.00000	4.99367e-3	0.00000	0.1490	0.428448	465.000
1.58489	41788.7	14867.6	0.355781	44354.7	27985.9	0.742863	9380.84	26366.9	2.12412e-5	7.55722e-6	533.000	89.909	1.63377	724.652	19.5846	2.00000	4.99116e-3	0.00000	0.1490	0.428448	479.000
1.00000	37572.2	13622.4	0.362564	39965.5	39965.5	0.669633	13622.4	37572.3	2.35232e-5	8.52867e-6	553.000	89.959	1.63445	653.217	19.9288	2.00000	4.99325e-3	0.00000	0.1490	0.428448	499.000
0.630957	34216.7	12665.2	0.370146	36485.4	57825.5	0.611293	20073.0	54229.8	2.57039e-5	9.51420e-6	585.000	89.986	1.63437	596.307	20.3119	2.00000	4.99300e-3	0.00000	0.1490	0.428448	531.000
100.000	101754	40107.1	0.394159	109373	1093.73	1.82750	401.071	1017.54	8.50613e-6	3.35277e-6	667.000	84.273	1.62993	1782.70	21.5123	2.00000	4.90609e-3	0.00000	0.1310	0.408110	613.000
